GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,TotalVotes,BBB,Average_House_Price,Average_Income,Population_Density,Population_Increase
Valkenburg aan de Geul,G0994,K19,P31,10806,425,275.7,26.5,440,-115
Lelystad,G0995,K5,P24,40779,1419,242.9,23.1,355,201
Horst aan de Maas,G1507,K19,P31,27346,2134,270.2,24.8,228,-56
Oude IJsselstreek,G1509,K7,P25,25604,3293,247.0,22.4,289,-231
Teylingen,G1525,K15,P28,24921,831,395.3,30.4,1340,-13
Utrechtse Heuvelrug,G1581,K8,P26,33079,1077,442.8,31.0,379,-280
Oost Gelre,G1586,K7,P25,20346,3201,258.2,24.3,269,-55
Koggenland,G1598,K11,P27,15240,1481,277.5,25.4,287,56
Lansingerland,G1621,K15,P28,39061,1066,396.0,30.3,1203,229
Leudal,G1640,K19,P31,22711,2217,256.0,25.5,221,-147
Maasgouw,G1641,K19,P31,15126,637,254.9,26.2,526,-160
Gemert-Bakel,G1652,K18,P30,19118,1729,305.3,24.2,254,11
Halderberge,G1655,K17,P30,18382,980,304.2,25.4,413,-112
Heeze-Leende,G1658,K18,P30,11108,724,353.3,29.2,158,-49
Laarbeek,G1659,K18,P30,14686,1080,314.1,24.9,415,-6
Reusel-De Mierden,G1667,K18,P30,8445,977,338.7,25.4,171,44
Roerdalen,G1669,K19,P31,12639,785,242.1,25.1,233,-60
Roosendaal,G1674,K17,P30,41509,1508,257.3,24.6,725,-208
Schouwen-Duiveland,G1676,K16,P29,23077,1483,303.2,26.2,149,-129
Aa en Hunze,G1680,K3,P22,17864,1711,284.8,26.0,93,-126
Borger-Odoorn,G1681,K3,P22,17370,1795,233.7,23.4,93,-143
De Wolden,G1690,K3,P22,17257,2776,290.8,24.8,109,-137
Noord-Beveland,G1695,K16,P29,5192,422,238.1,24.9,89,-43
Wijdemeren,G1696,K10,P27,16075,731,431.8,31.7,515,-66
Noordenveld,G1699,K3,P22,21663,1714,292.8,25.1,157,-93
Twenterand,G1700,K4,P23,21982,2504,249.0,20.9,318,-23
Westerveld,G1701,K3,P22,14305,2001,279.5,25.3,71,-135
Lingewaard,G1705,K7,P25,31074,1290,290.2,25.4,758,-36
Cranendonck,G1706,K18,P30,13217,1041,283.7,25.5,270,-29
Steenwijkerland,G1708,K4,P23,29575,3649,250.4,22.7,155,-85
Moerdijk,G1709,K17,P30,22856,1328,272.9,26.0,234,-50
Echt-Susteren,G1711,K19,P31,19959,956,241.3,25.3,308,-191
Sluis,G1714,K16,P29,12817,1326,246.4,24.8,83,-119
Drimmelen,G1719,K17,P30,17983,1180,289.6,26.7,289,-45
Bernheze,G1721,K18,P30,20644,1384,327.8,25.6,353,-30
Alphen-Chaam,G1723,K17,P30,6979,768,347.8,27.3,112,-35
Bergeijk,G1724,K18,P30,12522,1111,335.6,26.2,187,-27
Bladel,G1728,K18,P30,13470,1060,334.3,25.3,275,-20
Gulpen-Wittem,G1729,K19,P31,9610,915,266.6,25.8,194,-91
Tynaarlo,G1730,K3,P22,23045,1399,309.8,27.8,240,-171
Midden-Drenthe,G1731,K3,P22,23384,3496,261.2,24.1,99,-142
Overbetuwe,G1734,K7,P25,31313,1555,317.0,25.7,443,76
Hof van Twente,G1735,K4,P23,24355,3355,274.7,24.9,165,-112
Neder-Betuwe,G1740,K6,P25,15505,709,309.0,22.3,417,149
Rijssen-Holten,G1742,K4,P23,25661,2428,287.3,22.1,406,66
Geldrop-Mierlo,G1771,K18,P30,24642,777,298.9,25.9,1294,-24
Olst-Wijhe,G1773,K4,P23,12666,2049,307.8,24.2,163,-31
Dinkelland,G1774,K4,P23,18860,2866,279.2,24.3,151,-45
Westland,G1783,K14,P28,69208,2844,326.3,26.5,1392,214
Midden-Delfland,G1842,K14,P28,12941,715,399.6,29.5,413,5
Berkelland,G1859,K7,P25,30595,5365,265.9,23.4,170,-166
Bronckhorst,G1876,K7,P25,25537,4681,312.7,25.0,127,-181
Sittard-Geleen,G1883,K19,P31,53905,1525,218.2,24.9,1167,-343
Kaag en Braassem,G1884,K15,P28,18741,1294,363.5,27.7,442,65
Dantumadiel,G1891,K2,P21,12392,994,234.2,20.0,224,-21
Zuidplas,G1892,K15,P28,28138,891,323.9,28.1,790,151
Peel en Maas,G1894,K19,P31,28145,2294,279.7,24.3,278,-6
Oldambt,G1895,K1,P20,23631,1737,175.8,21.3,170,-219
Zwartewaterland,G1896,K4,P23,15003,1197,241.2,22.5,279,127
S̼dwest-Frysl̢n,G1900,K2,P21,57790,5563,225.7,22.6,173,-205
Bodegraven-Reeuwijk,G1901,K15,P28,22890,1255,330.1,28.2,474,101
Eijsden-Margraten,G1903,K19,P31,16892,991,322.2,27.5,333,5
Stichtse Vecht,G1904,K8,P26,40415,1553,383.9,30.3,679,36
Hollands Kroon,G1911,K11,P27,30528,3724,257.5,24.3,136,14
Leidschendam-Voorburg,G1916,K15,P28,43901,1025,340.4,30.8,2351,-115
Goeree-Overflakkee,G1924,K14,P28,33897,1800,274.6,26.0,195,-106
Pijnacker-Nootdorp,G1926,K15,P28,34703,1060,375.9,28.9,1534,162
